Samples,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_acc2,y_acc2,z_acc2,x_mag,y_mag,z_mag
212,53,10,1088,-4060,-3570,-6300,19,-80,1108,-568,-22,-391
213,48,-27,1047,-14140,-980,-4620,-25,-65,1014,-583,-24,-397
214,-2,-73,933,-13930,-1540,-2730,-74,-2,922,-580,-22,-399
215,-152,-149,978,-10080,-490,4480,-145,152,1011,-579,-15,-397
216,-78,-60,1230,-20300,7490,17220,-102,16,1181,-577,-15,-402
217,-43,-58,955,-25340,11340,19740,-16,51,894,-583,-10,-399
218,-34,0,880,-23730,10080,22330,48,-51,914,-580,-13,-403
219,50,46,929,-18830,5530,20020,55,-62,991,-583,-15,-393
220,17,29,1030,-14630,4900,17500,16,7,1049,-580,-13,-396
221,-32,-7,1055,-14210,5320,17570,-37,-28,1094,-573,-9,-396
222,-33,-103,1094,-18200,11900,20510,-83,0,1106,-571,-1,-391
223,-80,-110,1051,-21280,14700,19530,-93,61,1057,-586,-3,-402
224,-101,-118,986,-22470,16590,16450,-104,87,992,-580,0,-400
225,-90,-82,937,-23380,14910,11690,-66,81,940,-580,3,-400
226,-25,-113,966,-24430,10710,5040,-103,4,978,-583,1,-408
227,4,-127,975,-21210,9240,-350,-62,-29,1080,-582,6,-402
228,16,-40,1138,-29400,6090,-4830,-21,-19,1230,-580,6,-409
229,-29,-11,1243,-50400,3220,-10570,27,21,1278,-588,9,-396
230,-73,19,1231,-73710,2730,-15470,17,67,1255,-586,9,-400
231,-85,-13,1293,-83510,4620,-15610,19,25,1272,-588,18,-400
232,-54,24,1264,-77840,14420,-10360,38,39,1261,-604,22,-403
233,-89,-12,1232,-82740,24780,-2940,-56,77,1216,-597,30,-409
234,-74,-195,1192,-103320,31220,-2170,-152,66,1210,-598,36,-415
235,-41,-260,1256,-109900,31920,-3360,-229,31,1231,-601,48,-411
236,-51,-263,1381,-103880,31920,-5460,-248,32,1477,-603,72,-412
237,-152,-217,1506,-92680,33600,-11760,-253,29,1473,-600,64,-408
238,-60,-299,1477,-89040,-6510,-2590,-665,92,1150,-607,70,-409
239,-144,-671,1612,16240,-19810,-1470,-653,132,1504,-601,72,-397
240,5,-512,1621,70140,-17850,-10220,-449,9,1585,-586,66,-397
241,-111,-344,1431,94570,-19600,-16940,-310,110,1373,-595,55,-393
242,-140,-254,1294,98490,-24080,-21070,-221,108,1279,-595,52,-393
243,-73,-250,1191,86590,-18550,-12460,-239,4,1186,-591,48,-385
244,67,-281,1186,84980,-10570,-12670,-278,-63,1211,-589,45,-387
245,24,-303,1222,84560,-5320,-15050,-291,-17,1237,-586,43,-388
246,-15,-294,1229,82880,-4410,-16730,-258,7,1209,-580,40,-384
247,-32,-260,1193,82950,-4620,-16170,-214,28,1161,-586,37,-384
248,-58,-218,1133,78260,-4340,-16520,-193,60,1110,-591,40,-373
249,-95,-254,1066,67830,-3920,-17430,-229,74,1091,-580,33,-373
250,-82,-301,1049,57470,-3010,-18060,-280,69,1065,-589,27,-360
251,-68,-325,1048,50960,-1400,-19250,-308,55,1060,-592,34,-367
252,-47,-313,1045,46410,630,-20230,-262,15,1049,-604,31,-373
253,-35,-279,1041,39760,1470,-18480,-301,16,1027,-606,40,-366
254,-20,-372,1011,38990,-280,-17570,-368,1,1002,-625,49,-369
255,5,-393,1004,40530,-1400,-17500,-381,-30,1002,-618,45,-370
256,55,-385,1016,44100,-1820,-18900,-371,-83,1017,-625,46,-376
257,94,-371,1024,48930,-1470,-20930,-349,-111,1017,-625,48,-361
258,78,-342,1011,61740,140,-23310,-313,-78,980,-628,45,-372
259,-23,-219,897,67340,1330,-22190,-243,-31,920,-636,49,-378
260,-69,-158,855,68810,1400,-19460,-121,40,846,-639,39,-388
261,-70,-125,836,66640,-70,-14840,-106,25,840,-627,37,-382
262,-45,-122,826,61600,-2100,-9590,-125,-9,820,-634,33,-381
263,-7,-143,804,55860,-3290,-6440,-144,-12,771,-634,40,-390
264,-10,-155,767,53620,-1960,-3920,-123,-16,738,-640,34,-385
265,30,-98,751,54040,-770,-3500,-90,-50,753,-633,27,-393
266,17,-68,763,51170,-2030,-3920,-53,-45,774,-634,28,-394
267,15,-26,750,45990,-4620,-2660,-10,-45,764,-640,28,-399
268,26,-13,743,39550,-6160,-770,-3,-56,758,-643,24,-399
269,8,-23,731,32760,-6020,630,-17,-28,740,-627,25,-394
270,-28,-36,718,26040,-6930,1820,-27,13,711,-636,21,-400
271,-68,-51,719,23170,-9520,4620,-49,55,702,-633,18,-405
272,-67,-110,749,27930,-8960,3080,-101,40,741,-627,12,-406
273,-46,-105,745,35000,-6930,-350,-66,32,716,-631,16,-399
274,-46,-53,722,43610,-4410,-3710,-2,14,703,-634,19,-405
275,-29,4,705,52080,-2660,-6160,57,-23,683,-631,10,-400
276,-1,62,690,59080,-1540,-5950,113,-44,678,-634,-1,-403
277,13,108,679,63700,-3500,-2170,137,-40,673,-628,-7,-406
278,0,127,679,66430,-5180,-1680,140,-25,678,-627,-6,-400
279,12,110,682,64400,-5320,-3220,121,-34,691,-628,-15,-399
280,10,129,636,60270,-2800,-5180,142,-33,639,-627,-16,-394
281,-25,177,574,56280,210,-6370,193,2,571,-624,-27,-408
282,-46,207,552,53550,1330,-6300,221,15,557,-627,-27,-403
283,-20,193,540,50540,1750,-6370,206,-11,546,-621,-30,-400
284,8,226,539,40950,3290,-10850,249,-41,555,-621,-42,-399
285,33,282,540,33460,2660,-9940,300,-78,564,-630,-43,-387
286,40,304,549,22890,840,-6860,318,-78,575,-621,-39,-393
287,45,310,557,10500,-980,-4480,316,-86,576,-627,-39,-405
288,57,304,548,-1540,-2310,-3780,316,-83,557,-616,-43,-394
289,33,312,537,-11480,-3290,-3220,329,-30,534,-615,-43,-397
290,-17,321,524,-21560,-2380,-1330,331,18,523,-618,-39,-406
291,-73,309,525,-23730,-140,-140,322,43,529,-613,-36,-396
292,-52,304,534,-24990,3290,420,318,24,535,-618,-37,-396
293,-28,295,540,-25130,5530,140,307,0,538,-612,-36,-388
294,6,301,564,-25340,4970,-140,315,-40,571,-619,-30,-397
295,57,336,603,-26460,3640,-700,350,-91,605,-616,-37,-396
296,78,374,636,-27790,3290,-1190,389,-112,668,-619,-36,-391
297,71,392,660,-30870,140,910,404,-77,684,-616,-36,-403
298,11,389,676,-32480,-2800,3010,401,-33,681,-616,-27,-399
299,-20,390,676,-33670,-4550,4480,401,-6,678,-616,-25,-400
300,-18,370,704,-34020,-4060,4900,371,-26,735,-613,-22,-402
301,15,347,754,-33740,-2100,3360,360,-62,775,-604,-22,-412
302,31,353,787,-34160,560,2380,383,-61,796,-609,-16,-408
303,24,377,794,-35070,700,2730,398,-61,790,-618,-18,-405
304,48,393,808,-34930,-2800,5950,405,-83,799,-612,0,-417
305,60,403,829,-34090,-4200,8890,418,-100,822,-606,-1,-412
306,0,391,874,-32480,-3290,9590,409,-45,861,-610,10,-421
307,-45,357,885,-30030,-1750,10150,378,14,882,-607,6,-424
308,-77,333,910,-29330,1330,8330,347,54,951,-591,9,-415
309,-88,310,935,-31430,3640,6860,318,31,995,-597,13,-418
310,-64,300,981,-40950,3850,7420,320,22,1036,-600,22,-417
311,-38,298,1043,-47390,3220,7420,314,5,1065,-597,24,-430
312,-19,293,1064,-55790,3500,6090,306,-7,1090,-603,34,-432
